Date/Time,TEST_OFFICE_0:Zone Lights Electricity Energy [J](Hourly),TEST_OFFICE_0:Zone Electric Equipment Electricity Energy [J](Hourly),PARALLEL PIU ELEC RHT FAN:Fan Electricity Energy [J](Hourly),FAN VARIABLE VOLUME 1:Fan Electricity Energy [J](Hourly),PARALLEL PIU ELEC RHT COIL:Heating Coil Electricity Energy [J](Hourly),CHILLER ELECTRIC EIR 1:Chiller Electricity Energy [J](Hourly),BOILER HOT WATER 1:Boiler NaturalGas Energy [J](Hourly),PUMP VARIABLE SPEED 2:Pump Electricity Energy [J](Hourly),PUMP VARIABLE SPEED 3:Pump Electricity Energy [J](Hourly),PUMP VARIABLE SPEED 1:Pump Electricity Energy [J](Hourly) 
 07/21  24:00:00,244072.75646705893,1260302.960666268,0.0,110785.63290393612,0.0,89102.8948632137,0.0,2655.428970921916,632415.8577165876,0.0 
 07/22  01:00:00,244072.75646705893,945227.220499701,0.0,110785.63290393612,0.0,70899.18960832662,0.0,2171.855734704241,632404.4578300482,0.0 
 07/22  02:00:00,244072.75646705893,945227.220499701,0.0,110785.63290393612,0.0,20915.624171387284,0.0,652.9642654765422,421592.95528217393,0.0 
 07/22  03:00:00,244072.75646705893,945227.220499701,0.0,110785.63290393612,0.0,0.0,0.0,0.0,0.0,0.0 
 07/22  04:00:00,244072.75646705893,945227.220499701,0.0,110785.63290393612,0.0,0.0,0.0,0.0,0.0,0.0 
 07/22  05:00:00,244072.75646705893,945227.220499701,0.0,110785.63290393612,0.0,0.0,0.0,0.0,0.0,0.0 
 07/22  06:00:00,244072.75646705893,945227.220499701,0.0,110785.63290393612,0.0,35308.63794659347,0.0,1113.4463576747617,527000.5141178096,0.0 
 07/22  07:00:00,488145.51293411787,1260302.960666268,805497.4245999014,110785.63290393612,3261527.9011423322,128896.36625479526,0.0,4035.9111932245905,632438.8417316645,0.0 
 07/22  08:00:00,488145.51293411787,1260302.960666268,345213.1819713863,110785.63290393612,0.0,235623.00597706577,0.0,6808.753189824201,632503.8891969777,0.0 
 07/22  09:00:00,2440727.5646705893,1575378.7008328347,172606.59098569315,112389.3873350203,0.0,419764.5313220861,0.0,10078.098619781244,632591.6588207611,0.0 
 07/22  10:00:00,2440727.5646705893,1575378.7008328347,0.0,123510.36390205781,0.0,992975.2178589401,0.0,19361.601982097738,632732.7364926512,0.0 
 07/22  11:00:00,2440727.5646705893,1575378.7008328347,0.0,135472.27162552995,0.0,1869407.2071829366,0.0,31324.040854418294,632956.4195986048,0.0 
 07/22  12:00:00,2440727.5646705893,1575378.7008328347,0.0,149395.69818750297,0.0,2493508.2946205814,0.0,46728.62931065785,633158.2945555933,0.0 
 07/22  13:00:00,2440727.5646705893,1575378.7008328347,0.0,171350.0863748758,0.0,2507706.2978152162,0.0,67131.25748455679,633293.2244844006,0.0 
 07/22  14:00:00,2440727.5646705893,1575378.7008328347,0.0,211909.91112451127,0.0,2668306.7894283296,0.0,87233.99101665257,633373.5348021183,0.0 
 07/22  15:00:00,732218.2694011768,1102765.0905829843,0.0,209099.6417010427,0.0,2553353.4495803425,0.0,79874.85767097246,633271.5259976747,0.0 
 07/22  16:00:00,732218.2694011768,1102765.0905829843,0.0,245105.54671330398,0.0,2576706.0598793696,0.0,84361.29791343518,633207.9411178248,0.0 
